RegisterAddress,TimestampMicroseconds,DataElement0
34,"304,607500",-8348,-1040,-2205,-32768,31172,20520,59,115,-42
34,"315,175700",-7715,1879,-3801,302,498,1108,0,0,0
34,"315,186300",-7259,1700,-4313,-1460,382,605,39,96,-61
34,"315,195700",-6857,842,-4695,-10965,-4592,-3296,39,96,-61
34,"315,206500",-6707,-152,-3724,-16751,-5660,-3637,29,92,-41
34,"315,215700",-6609,-221,-3368,-11909,-5202,-3554,29,92,-41
34,"315,226300",-7386,-288,-3226,-8592,-4467,-4211,32,91,-38
34,"315,235700",-7306,-475,-3701,-5574,-2215,-4553,32,91,-38
34,"315,246300",-7129,-718,-3757,-1229,-961,-3502,34,94,-37
34,"315,255600",-7401,-799,-3416,1564,-620,-3052,34,94,-37
34,"315,266200",-7267,-944,-4015,2096,-2158,-2771,33,95,-37
34,"315,275600",-7833,-1158,-3325,1524,-3422,-2638,33,95,-37
34,"315,286300",-7627,-993,-3140,1692,-3514,-1670,34,94,-36
34,"315,295600",-7845,-541,-2960,-426,-4658,-743,34,94,-36
34,"315,306200",-7490,-404,-2627,-4260,-3777,324,33,92,-36
34,"315,315600",-7376,-528,-2314,-2903,-1010,1046,33,92,-36
34,"315,326100",-7554,-635,-2645,719,1284,714,36,94,-33
34,"315,335500",-7924,-451,-3133,2976,2051,438,36,94,-33
34,"315,346100",-7715,-313,-3327,-385,1898,199,34,94,-35
34,"315,355500",-7780,-180,-3232,-2690,512,659,34,94,-35
34,"315,366100",-7735,-96,-3071,-2486,-467,453,34,94,-35
34,"315,375500",-7572,-208,-2836,-673,-1445,-501,34,94,-35
34,"315,386100",-7050,-284,-2822,-103,-1018,-1343,34,93,-35
34,"315,395500",-7358,-259,-2999,-4471,-47,-1926,34,93,-35
34,"315,406000",-6940,-966,-3709,-13608,1619,-668,35,92,-33
34,"315,415500",-7413,-813,-3605,-10019,-162,4100,35,92,-33
34,"315,426200",-8198,-94,-3393,-3036,-4038,5234,34,94,-32
34,"315,435400",-8063,498,-2719,980,-3493,2694,34,94,-32
34,"315,446000",-7378,321,-2147,-2210,-84,-955,34,92,-30
34,"315,455400",-6880,130,-2390,-5680,4090,-2613,34,92,-30
34,"315,466000",-6848,-176,-3194,-4755,6372,-2292,35,93,-32
34,"315,475300",-7182,-240,-3902,-3000,4630,-2044,35,93,-32
34,"315,485900",-7807,-252,-4014,-1693,2179,-2595,35,95,-34
34,"315,495300",-7826,-393,-3710,-1162,1143,-2267,35,95,-34
34,"315,506000",-7726,-648,-3457,-341,-1069,-1278,37,95,-34
