timestamp,x,y,z,label
0.0000,-0.007205,-0.008645,0.994434,sit
0.0200,0.035099,-0.006379,0.925132,sit
0.0400,0.016616,-0.013367,0.989152,sit
0.0600,0.005794,0.011615,1.058178,sit
0.0800,0.032832,0.005525,0.963084,sit
0.1000,-0.050733,0.012317,1.065554,sit
0.1200,0.002083,-0.005316,1.026589,sit
0.1400,-0.072677,-0.015614,1.024518,sit
0.1600,0.043670,-0.012031,1.018830,sit
0.1800,0.012411,0.039116,0.944339,sit
0.2000,0.028413,-0.075726,0.869003,sit
0.2200,-0.030345,-0.045791,1.043801,sit
0.2400,0.033213,-0.060954,1.042368,sit
0.2600,-0.050110,-0.004312,0.985305,sit
0.2800,0.005721,0.040932,1.031921,sit
0.3000,0.017494,0.032497,1.023925,sit
0.3200,-0.031349,-0.035869,0.976502,sit
0.3400,0.024966,-0.012506,1.116788,sit
0.3600,-0.040965,-0.054944,1.038424,sit
0.3800,0.071092,0.025285,1.041791,sit
0.4000,0.071317,-0.004701,0.928852,sit
0.4200,-0.026604,0.047645,0.927816,sit
0.4400,0.001677,0.012662,0.984220,sit
0.4600,0.036182,0.029039,1.116070,sit
0.4800,0.030998,-0.030470,0.971910,sit
0.5000,-0.041579,0.047614,0.971658,sit
0.5200,-0.003513,0.037465,0.963827,sit
0.5400,-0.014683,-0.092064,0.945876,sit
0.5600,-0.028387,0.020788,1.059675,sit
0.5800,-0.000923,0.013068,1.008398,sit
0.6000,0.054237,0.044668,1.013685,sit
0.6200,-0.050547,0.045169,1.019052,sit
0.6400,0.061347,-0.001495,1.097655,sit
0.6600,-0.017944,0.079653,1.005756,sit
0.6800,-0.025813,-0.056422,0.992448,sit
0.7000,0.071166,0.040819,1.034444,sit
0.7200,-0.118794,0.035548,1.027793,sit
0.7400,-0.027496,-0.031369,0.999884,sit
0.7600,0.086244,-0.052755,0.978610,sit
0.7800,0.068089,-0.022308,0.981787,sit
0.8000,0.004889,-0.062064,1.010997,sit
0.8200,-0.060481,0.044260,1.000159,sit
0.8400,0.114172,0.014042,1.068284,sit
0.8600,-0.065163,-0.006107,1.016157,sit
0.8800,0.087286,-0.084046,1.049531,sit
0.9000,0.029568,0.076677,1.035619,sit
0.9200,0.002604,-0.026082,0.937591,sit
0.9400,0.009771,-0.009585,1.101013,sit
0.9600,-0.030551,0.016020,0.921550,sit
0.9800,-0.019773,0.013057,1.041198,sit
1.0000,0.072405,-0.002207,0.944138,sit
1.0200,0.022893,0.025849,1.024583,sit
1.0400,-0.035014,0.056669,1.004395,sit
1.0600,0.034991,0.063704,1.030464,sit
1.0800,0.014326,0.107640,1.012185,sit
1.1000,-0.014798,0.005598,1.074138,sit
1.1200,0.005936,0.025969,1.059787,sit
1.1400,-0.025643,-0.086328,1.014971,sit
1.1600,0.011487,-0.030401,1.043554,sit
1.1800,0.030378,-0.049750,1.025911,sit
1.2000,-0.009805,-0.074151,1.022648,sit
1.2200,-0.002261,-0.037264,1.026147,sit
1.2400,0.024405,-0.028877,1.020018,sit
1.2600,0.050753,-0.035633,1.019045,sit
1.2800,0.000138,0.113301,0.906885,sit
1.3000,0.034764,-0.015312,0.994990,sit
1.3200,0.095079,-0.000429,1.112047,sit
1.3400,-0.022107,0.017526,0.975458,sit
1.3600,-0.034534,0.003124,0.985871,sit
1.3800,0.010125,-0.105251,1.100123,sit
1.4000,-0.008350,0.087145,0.949644,sit
1.4200,0.014627,0.158247,0.956514,sit
1.4400,-0.074765,-0.027325,1.023624,sit
1.4600,0.034667,0.064518,0.987149,sit
1.4800,-0.080113,-0.021751,1.062011,sit
1.5000,0.023283,-0.097847,0.998247,sit
1.5200,0.069908,0.106327,1.028084,sit
1.5400,0.015465,-0.062010,0.957838,sit
1.5600,0.002346,0.025160,1.029009,sit
1.5800,-0.023910,-0.057597,0.961111,sit
1.6000,-0.057849,0.032170,0.884386,sit
1.6200,-0.016664,0.022494,1.076101,sit
1.6400,0.003565,0.050064,0.980050,sit
1.6600,-0.037220,-0.033720,1.076367,sit
1.6800,0.049711,0.024370,1.166513,sit
1.7000,-0.001617,0.031017,1.015380,sit
1.7200,-0.011094,0.115809,1.075330,sit
